condition,current_na,spike_count,mean_rate_hz,steady_rate_hz,adaptation_index,max_adaptation_state
without_adaptation,0.0,0,0.0,0.0,nan,0.0
with_adaptation,0.0,0,0.0,0.0,nan,0.0
without_adaptation,0.5,0,0.0,0.0,nan,0.0
with_adaptation,0.5,0,0.0,0.0,nan,0.0
without_adaptation,1.0,0,0.0,0.0,nan,0.0
with_adaptation,1.0,0,0.0,0.0,nan,0.0
without_adaptation,1.5,18,22.857142857142858,23.2288037166086,-9.903034644740074e-16,0.0
with_adaptation,1.5,2,1.4285714285714286,3.813155386081983,nan,0.16187813047764701
without_adaptation,2.0,23,28.571428571428573,29.455081001472745,1.255745630209308e-15,0.0
with_adaptation,2.0,4,2.857142857142857,5.099005693889692,6.078206465067779,0.22430575499799965
without_adaptation,2.5,27,34.285714285714285,34.07155025553664,7.26278775904702e-16,0.0
with_adaptation,2.5,6,5.714285714285714,5.03229053090665,5.269070735090153,0.28711643340543325
without_adaptation,3.0,30,37.142857142857146,37.950664136622414,8.089670615864518e-16,0.0
with_adaptation,3.0,8,7.142857142857143,6.215040397762586,4.256910569105694,0.35015725457592856
without_adaptation,3.5,33,41.42857142857143,41.32231404958683,-2.936127007273141e-15,0.0
with_adaptation,3.5,10,10.0,8.33217608665463,3.3770491803278677,0.4133050132018049
without_adaptation,4.0,36,44.28571428571429,44.44444444444444,0.0,0.0
with_adaptation,4.0,13,12.857142857142858,10.954902318787656,2.6374501992031854,0.4760287143483486
without_adaptation,4.5,38,47.142857142857146,47.28132387706861,-1.1758390426290073e-15,0.0
with_adaptation,4.5,16,17.142857142857142,14.177693761814743,2.032188841201716,0.5363138859806108
without_adaptation,5.0,40,50.0,50.125313283208094,-3.5616177231082714e-15,0.0
with_adaptation,5.0,19,21.42857142857143,17.90510295434199,1.57339449541284,0.5892027277604145
without_adaptation,5.5,42,52.85714285714286,52.63157894736842,0.0,0.0
with_adaptation,5.5,22,24.28571428571429,21.590500179920827,1.2572815533980581,0.6304974000354472
without_adaptation,6.0,44,54.28571428571429,55.09641873278232,-1.3701926033941324e-15,0.0
with_adaptation,6.0,24,27.142857142857146,24.97918401332223,1.053708439897697,0.661245146436984
without_adaptation,6.5,46,57.142857142857146,57.63688760806909,1.2286041540520463e-15,0.0
with_adaptation,6.5,27,31.42857142857143,27.945971122496502,0.9222520107238615,0.6859131448187005
without_adaptation,7.0,48,60.00000000000001,59.880239520958064,2.5528481524314973e-15,0.0
with_adaptation,7.0,29,34.285714285714285,30.674846625766882,0.829131652661063,0.7052596760819743
without_adaptation,7.5,50,62.85714285714286,62.11180124223609,1.3239926753293792e-15,0.0
with_adaptation,7.5,31,37.142857142857146,33.2409972299169,0.755102040816321,0.7215097265733903
without_adaptation,8.0,52,64.28571428571429,64.30868167202576,-2.970114329543827e-15,0.0
with_adaptation,8.0,32,37.142857142857146,35.67181926278239,0.6999999999999973,0.7348456973127644
without_adaptation,8.5,54,67.14285714285715,66.66666666666667,0.0,0.0
with_adaptation,8.5,34,40.0,37.92667509481668,0.6603773584905643,0.7469315775477751
without_adaptation,9.0,55,68.57142857142857,68.7285223367698,-3.1742458985846398e-15,0.0
with_adaptation,9.0,36,42.85714285714286,40.08016032064127,0.6201298701298732,0.7575792618057362
without_adaptation,9.5,57,71.42857142857143,70.67137809187291,-1.6319886157034103e-15,0.0
with_adaptation,9.5,37,44.28571428571429,42.194092827004205,0.590604026845633,0.7667265011401531
without_adaptation,10.0,58,71.42857142857143,72.72727272727273,0.0,0.0
with_adaptation,10.0,39,47.142857142857146,44.247787610619504,0.5640138408304511,0.7752946357110484
